Order_ID,Order_Date,Customer_ID,Restaurant_Name,Food_Category,Order_Value,Delivery_Time,Rating,Payment_Method,City,Order_Status
100020,2026-01-08,C6146,Ghatkopar Grill,Beverages,462,76,5.0,Debit Card,Mumbai - Powai,Delivered
100021,2026-03-05,C6315,Malad Food Hub,Burger,178,37,3.5,Cash,Mumbai - Ghatkopar,Delivered
100022,2025-12-21,C3843,Malad Food Hub,Pizza,801,40,4.3,UPI,Mumbai - Andheri,Delivered
100023,2026-02-19,C8534,Powai Plates,Chinese,866,58,3.8,Credit Card,Mumbai - Ghatkopar,Delayed
100024,2026-06-04,C8882,Marine Drive Meals,Chinese,632,35,4.4,Wallet,Mumbai - Malad,Delivered
100025,2025-07-19,C2782,Bandra Bites,Burger,129,53,3.7,Credit Card,Mumbai - Andheri,Delivered
100026,2025-10-06,C3225,Borivali Bistro,Healthy Food,1625,74,3.3,UPI,Mumbai - Andheri,Delivered
100027,2025-09-23,C4649,Malad Food Hub,Pizza,1061,56,2.7,Cash,Mumbai - Borivali,Delayed
100028,2025-06-21,C1136,Marine Drive Meals,South Indian,1415,59,3.3,Debit Card,Mumbai - Thane,Delivered
100029,2025-10-05,C5277,Ghatkopar Grill,Burger,628,39,3.1,UPI,Mumbai - Malad,Delivered
100030,2025-02-03,C1065,Borivali Bistro,Pizza,795,24,3.7,Credit Card,Mumbai - Andheri,Delayed
100031,2025-06-19,C7193,Bandra Bites,Beverages,562,16,4.7,Credit Card,Mumbai - Thane,Delivered
100032,2025-11-20,C4597,Colaba Cafe,Chinese,1153,44,4.4,Wallet,Mumbai - Vashi,Delayed
100033,2026-04-16,C4879,Chembur Spice House,Desserts,1562,78,3.6,Credit Card,Mumbai - Dadar,Delivered
100034,2025-05-12,C4527,Kurla Kitchen,South Indian,1781,74,3.9,Wallet,Mumbai - Thane,Delivered
100035,2026-04-19,C2986,Vashi Veg Corner,South Indian,641,82,3.5,Debit Card,Mumbai - Kurla,Cancelled
100036,2025-10-06,C5395,Colaba Cafe,North Indian,1603,21,3.0,Credit Card,Mumbai - Dadar,Delivered
100037,2025-11-13,C6407,Thane Treats,Pizza,1253,37,3.2,Credit Card,Mumbai - Vashi,Cancelled
100038,2025-03-14,C6975,Malad Food Hub,Desserts,1773,18,4.0,Cash,Mumbai - Andheri,Delayed
100039,2026-05-13,C8850,Marine Drive Meals,Desserts,952,68,3.9,Credit Card,Mumbai - Vashi,Cancelled
100040,2026-04-05,C9291,Vashi Veg Corner,South Indian,388,77,4.3,Wallet,Mumbai - Kurla,Delayed
100041,2025-06-15,C2645,Mumbai Tadka,North Indian,544,67,3.5,Debit Card,Mumbai - Andheri,Delivered
100042,2025-05-11,C4746,Dadar Darbar,Beverages,100,63,4.3,Debit Card,Mumbai - Kurla,Delivered
100043,2025-08-24,C8315,Powai Plates,Chinese,814,70,4.1,UPI,Mumbai - Bandra,Delivered
100044,2026-05-27,C8447,Bandra Bites,Beverages,432,85,4.2,Cash,Mumbai - Powai,Cancelled
100045,2025-08-26,C9452,Bandra Bites,Desserts,502,16,2.5,Cash,Mumbai - Malad,Delivered
100046,2025-10-24,C6309,Marine Drive Meals,Biryani,1209,27,4.3,Credit Card,Mumbai - Ghatkopar,Delivered
100047,2025-06-12,C3944,Thane Treats,North Indian,246,16,3.6,Wallet,Mumbai - Borivali,Delayed
100048,2025-06-13,C2765,Borivali Bistro,Pizza,1288,29,2.7,Debit Card,Mumbai - Mulund,Cancelled
100049,2025-05-03,C9011,Ghatkopar Grill,Pizza,246,17,3.3,Cash,Mumbai - Borivali,Delayed
100050,2025-02-17,C5988,Marine Drive Meals,South Indian,1544,45,4.0,Cash,Mumbai - Vashi,Delivered
100051,2026-06-03,C7891,Borivali Bistro,Desserts,570,37,2.7,Wallet,Mumbai - Borivali,Delayed
100052,2025-01-30,C9611,Malad Food Hub,Healthy Food,910,50,4.0,Cash,Mumbai - Colaba,Delivered
100053,2025-04-06,C2530,Bandra Bites,Chinese,401,47,2.7,Credit Card,Mumbai - Andheri,Delivered
100054,2025-01-04,C9334,Ghatkopar Grill,South Indian,399,56,2.9,Debit Card,Mumbai - Kurla,Delayed
100055,2026-05-06,C6220,Vashi Veg Corner,North Indian,1614,75,3.0,Cash,Mumbai - Colaba,Delivered
100056,2026-01-25,C7139,Marine Drive Meals,Biryani,1312,32,4.8,Debit Card,Mumbai - Andheri,Delivered
100057,2026-02-25,C8503,Chembur Spice House,Pizza,449,66,3.2,Debit Card,Mumbai - Vashi,Delivered
100058,2025-09-28,C3538,Andheri Kitchen,Healthy Food,810,25,3.5,Debit Card,Mumbai - Bandra,Delivered
100059,2025-12-01,C8353,Colaba Cafe,Burger,641,68,2.5,Wallet,Mumbai - Dadar,Delayed
100060,2025-11-13,C5048,Colaba Cafe,Burger,1062,44,3.7,Cash,Mumbai - Kurla,Delivered
100061,2026-03-05,C9217,Bandra Bites,Beverages,478,29,3.3,Cash,Mumbai - Thane,Delivered
100062,2025-06-15,C7068,Andheri Kitchen,Healthy Food,552,30,3.5,Credit Card,Mumbai - Kurla,Delivered
100063,2025-02-10,C8972,Andheri Kitchen,Beverages,1752,43,3.7,UPI,Mumbai - Malad,Delivered
100064,2025-10-10,C6327,Thane Treats,Healthy Food,482,51,3.6,Credit Card,Mumbai - Dadar,Delivered
100065,2025-05-25,C4453,Andheri Kitchen,North Indian,1497,31,4.3,Debit Card,Mumbai - Colaba,Delivered
100066,2025-11-26,C7074,Dadar Darbar,Beverages,228,75,3.4,Cash,Mumbai - Kurla,Delivered
100067,2026-01-28,C9527,Kurla Kitchen,South Indian,545,18,3.5,UPI,Mumbai - Andheri,Delivered
100068,2025-07-06,C6423,Dadar Darbar,North Indian,1128,76,4.2,Debit Card,Mumbai - Bandra,Delivered
100069,2026-04-06,C5582,Thane Treats,Burger,1255,51,3.2,Cash,Mumbai - Powai,Delayed
100070,2025-11-07,C8261,Bandra Bites,Beverages,407,35,4.3,UPI,Mumbai - Mulund,Delivered
100071,2025-01-19,C2756,Powai Plates,South Indian,903,77,2.9,Debit Card,Mumbai - Colaba,Delivered
100072,2025-04-28,C5346,Ghatkopar Grill,Biryani,194,65,4.4,Credit Card,Mumbai - Borivali,Delivered
100073,2025-12-21,C7507,Andheri Kitchen,Biryani,940,41,2.6,Wallet,Mumbai - Borivali,Delivered
100074,2025-06-06,C9137,Marine Drive Meals,Pizza,470,39,3.8,Debit Card,Mumbai - Powai,Delayed
100075,2025-10-18,C2832,Ghatkopar Grill,Burger,130,52,3.8,Wallet,Mumbai - Colaba,Delivered
100076,2026-04-10,C2966,Vashi Veg Corner,Chinese,268,53,3.1,Wallet,Mumbai - Andheri,Cancelled
100077,2025-06-25,C5591,Dadar Darbar,Desserts,1254,42,4.6,Credit Card,Mumbai - Ghatkopar,Cancelled
100078,2025-01-02,C1814,Vashi Veg Corner,Chinese,1381,63,4.5,Debit Card,Mumbai - Kurla,Delayed
100079,2026-01-10,C3975,Chembur Spice House,Beverages,1463,72,5.0,UPI,Mumbai - Ghatkopar,Delivered
100080,2025-12-23,C5633,Marine Drive Meals,Pizza,137,37,4.8,UPI,Mumbai - Powai,Delayed
100081,2025-09-04,C1556,Marine Drive Meals,Chinese,1649,48,2.9,Debit Card,Mumbai - Bandra,Delivered
100082,2025-03-05,C4858,Chembur Spice House,Beverages,1027,28,3.6,Credit Card,Mumbai - Vashi,Delivered
100083,2026-02-16,C3138,Borivali Bistro,Biryani,901,82,4.5,UPI,Mumbai - Kurla,Cancelled
100084,2025-09-28,C4502,Dadar Darbar,Biryani,365,68,3.7,UPI,Mumbai - Dadar,Delivered
100085,2025-05-16,C6001,Vashi Veg Corner,Biryani,783,41,3.5,Wallet,Mumbai - Ghatkopar,Delivered
100086,2025-04-25,C6494,Thane Treats,Pizza,1427,50,3.4,UPI,Mumbai - Dadar,Delayed
100087,2025-08-03,C5433,Vashi Veg Corner,Burger,318,75,2.9,Wallet,Mumbai - Powai,Delivered
100088,2025-06-27,C5188,Chembur Spice House,North Indian,948,64,4.9,UPI,Mumbai - Colaba,Delivered
100089,2026-03-25,C3885,Ghatkopar Grill,South Indian,1060,23,2.9,Debit Card,Mumbai - Malad,Delivered
100090,2025-12-11,C1459,Dadar Darbar,Pizza,545,46,3.3,UPI,Mumbai - Dadar,Delayed
100091,2026-01-22,C8767,Chembur Spice House,Biryani,1690,47,2.6,Wallet,Mumbai - Malad,Delayed
100092,2026-03-16,C1211,Andheri Kitchen,South Indian,1624,37,4.8,Debit Card,Mumbai - Malad,Cancelled
100093,2025-05-01,C8904,Thane Treats,Desserts,655,55,4.1,Debit Card,Mumbai - Andheri,Delayed
100094,2025-03-01,C5095,Dadar Darbar,Pizza,183,37,4.6,UPI,Mumbai - Powai,Delivered
100095,2026-03-01,C1013,Ghatkopar Grill,North Indian,1650,62,4.0,Debit Card,Mumbai - Kurla,Delayed
100096,2026-02-04,C9349,Borivali Bistro,North Indian,1041,50,4.5,Wallet,Mumbai - Mulund,Delivered
100097,2025-04-30,C2294,Kurla Kitchen,Pizza,608,59,4.7,Wallet,Mumbai - Bandra,Delayed
100098,2026-02-24,C5408,Bandra Bites,Biryani,1164,41,4.0,Debit Card,Mumbai - Dadar,Delivered
100099,2025-04-02,C2918,Andheri Kitchen,Pizza,1017,29,2.6,UPI,Mumbai - Colaba,Delivered
100100,2026-04-21,C2508,Bandra Bites,Biryani,602,75,4.5,UPI,Mumbai - Mulund,Delayed
100101,2026-03-09,C5589,Dadar Darbar,Chinese,1440,77,4.3,Cash,Mumbai - Malad,Delivered
100102,2025-06-04,C5381,Bandra Bites,South Indian,563,61,2.6,Credit Card,Mumbai - Andheri,Delivered
100103,2026-02-05,C1789,Chembur Spice House,Biryani,1310,59,3.3,Cash,Mumbai - Chembur,Cancelled
100104,2025-10-18,C1379,Vashi Veg Corner,Pizza,692,49,4.4,UPI,Mumbai - Dadar,Delivered
100105,2025-07-21,C4849,Dadar Darbar,Burger,1340,25,5.0,Debit Card,Mumbai - Thane,Delivered
100106,2026-04-18,C7650,Borivali Bistro,Biryani,1609,71,2.7,Wallet,Mumbai - Colaba,Delivered
100107,2025-12-15,C1158,Andheri Kitchen,Biryani,785,54,3.8,Credit Card,Mumbai - Malad,Delayed
100108,2026-01-20,C1829,Mumbai Tadka,Healthy Food,974,56,4.3,Debit Card,Mumbai - Andheri,Cancelled
100109,2025-07-29,C7525,Mumbai Tadka,Burger,1485,60,3.9,Credit Card,Mumbai - Colaba,Delivered
100110,2025-02-25,C9928,Marine Drive Meals,Burger,1693,84,3.4,Wallet,Mumbai - Powai,Delivered
100111,2026-03-16,C3469,Chembur Spice House,Chinese,1639,82,4.9,Wallet,Mumbai - Bandra,Delivered
100112,2025-05-26,C2671,Borivali Bistro,Beverages,950,76,3.1,UPI,Mumbai - Kurla,Delivered
100113,2025-05-18,C5965,Vashi Veg Corner,South Indian,910,67,3.2,UPI,Mumbai - Colaba,Delivered
100114,2025-06-06,C9710,Colaba Cafe,Desserts,1604,83,4.0,Wallet,Mumbai - Malad,Delayed
100115,2025-06-03,C7687,Powai Plates,South Indian,1057,75,3.6,Credit Card,Mumbai - Borivali,Delayed
100116,2025-03-28,C9366,Bandra Bites,Burger,532,75,3.1,Credit Card,Mumbai - Dadar,Delivered
100117,2026-01-01,C1763,Borivali Bistro,Healthy Food,633,65,3.4,Cash,Mumbai - Andheri,Delivered
100118,2026-01-25,C1547,Powai Plates,Chinese,1184,42,3.7,Cash,Mumbai - Borivali,Delivered
100119,2025-05-14,C5089,Powai Plates,South Indian,1793,37,2.6,Credit Card,Mumbai - Powai,Delivered
100120,2025-03-10,C3085,Bandra Bites,Burger,1405,27,3.7,Credit Card,Mumbai - Powai,Delivered
100121,2026-03-22,C2132,Powai Plates,South Indian,1394,16,3.9,UPI,Mumbai - Ghatkopar,Cancelled
100122,2025-06-02,C4846,Malad Food Hub,North Indian,1383,81,3.0,Cash,Mumbai - Ghatkopar,Cancelled
100123,2025-10-30,C4478,Ghatkopar Grill,Beverages,1413,63,2.9,Wallet,Mumbai - Ghatkopar,Delivered
100124,2025-07-14,C4494,Kurla Kitchen,Healthy Food,245,22,4.1,UPI,Mumbai - Thane,Delivered
100125,2025-04-22,C3937,Borivali Bistro,Beverages,303,72,3.6,Credit Card,Mumbai - Bandra,Delivered
100126,2025-03-08,C7314,Borivali Bistro,Beverages,670,52,4.7,Cash,Mumbai - Andheri,Delivered
100127,2025-08-03,C6707,Borivali Bistro,North Indian,1396,51,2.9,Cash,Mumbai - Thane,Delivered
100128,2025-10-29,C4094,Chembur Spice House,North Indian,1529,37,3.5,UPI,Mumbai - Bandra,Delivered
100129,2026-05-08,C4070,Thane Treats,Chinese,1150,15,4.4,UPI,Mumbai - Andheri,Cancelled
100130,2025-01-15,C4502,Powai Plates,Beverages,1748,73,3.4,Credit Card,Mumbai - Colaba,Cancelled
100131,2025-10-19,C5498,Mumbai Tadka,Beverages,1254,18,4.1,Credit Card,Mumbai - Andheri,Cancelled
100132,2025-05-27,C2166,Powai Plates,South Indian,603,74,3.7,UPI,Mumbai - Mulund,Delivered
100133,2025-09-28,C1844,Marine Drive Meals,South Indian,1252,81,2.7,Wallet,Mumbai - Powai,Cancelled
100134,2025-06-11,C1907,Kurla Kitchen,Biryani,966,62,4.2,Wallet,Mumbai - Ghatkopar,Delivered
100135,2025-04-30,C1593,Kurla Kitchen,Desserts,425,61,3.8,Wallet,Mumbai - Vashi,Delivered
100136,2026-05-23,C2458,Ghatkopar Grill,North Indian,604,22,2.6,Cash,Mumbai - Powai,Delayed
100137,2025-01-25,C2482,Andheri Kitchen,Beverages,514,16,3.9,Credit Card,Mumbai - Malad,Cancelled
100138,2025-02-14,C9430,Thane Treats,Burger,1598,36,4.8,Cash,Mumbai - Kurla,Cancelled
100139,2026-04-02,C6048,Bandra Bites,Pizza,1231,33,4.4,UPI,Mumbai - Malad,Delivered
100140,2025-02-17,C1249,Marine Drive Meals,Pizza,1023,46,3.8,Credit Card,Mumbai - Thane,Delivered
100141,2025-08-04,C7477,Chembur Spice House,Burger,1155,15,2.8,Wallet,Mumbai - Kurla,Delivered
100142,2025-12-22,C6868,Kurla Kitchen,Pizza,1264,43,4.5,Debit Card,Mumbai - Colaba,Delivered
100143,2026-04-24,C7173,Malad Food Hub,Healthy Food,1161,31,2.5,UPI,Mumbai - Borivali,Delivered
100144,2025-10-11,C8797,Ghatkopar Grill,North Indian,954,58,4.4,Credit Card,Mumbai - Chembur,Delivered
100145,2025-09-03,C3672,Dadar Darbar,Burger,516,44,4.3,Cash,Mumbai - Andheri,Delivered
100146,2025-06-24,C5315,Bandra Bites,Beverages,1763,72,3.0,Cash,Mumbai - Andheri,Delivered
100147,2025-01-19,C5163,Malad Food Hub,Healthy Food,1284,26,4.5,Credit Card,Mumbai - Ghatkopar,Delivered
100148,2025-03-01,C7360,Ghatkopar Grill,North Indian,1228,64,4.0,Debit Card,Mumbai - Andheri,Delayed
100149,2025-05-23,C5729,Mumbai Tadka,North Indian,520,47,4.1,UPI,Mumbai - Andheri,Delivered
100150,2025-02-09,C2976,Vashi Veg Corner,Burger,1209,46,4.6,Cash,Mumbai - Bandra,Delivered
100151,2025-01-17,C6721,Colaba Cafe,Healthy Food,1032,27,4.4,Cash,Mumbai - Thane,Cancelled
100152,2025-10-10,C3333,Kurla Kitchen,Chinese,1012,44,4.2,Cash,Mumbai - Chembur,Delayed
100153,2025-06-23,C5595,Borivali Bistro,Burger,1310,20,4.1,Credit Card,Mumbai - Andheri,Delivered
100154,2025-08-27,C6010,Ghatkopar Grill,Healthy Food,630,78,2.7,Wallet,Mumbai - Powai,Delayed
100155,2025-03-01,C6832,Malad Food Hub,Burger,342,65,2.9,UPI,Mumbai - Andheri,Delayed
100156,2026-04-04,C2887,Marine Drive Meals,North Indian,1363,67,3.3,Wallet,Mumbai - Bandra,Delivered
100157,2025-05-20,C3120,Andheri Kitchen,Healthy Food,680,50,3.9,Credit Card,Mumbai - Andheri,Delivered
100158,2025-10-27,C8194,Bandra Bites,Pizza,123,83,3.9,Debit Card,Mumbai - Ghatkopar,Cancelled
100159,2025-04-14,C7735,Colaba Cafe,South Indian,1554,72,5.0,Credit Card,Mumbai - Vashi,Delivered
100160,2026-04-07,C9999,Bandra Bites,South Indian,750,58,3.1,Credit Card,Mumbai - Chembur,Delivered
100161,2026-01-13,C1096,Thane Treats,South Indian,644,29,3.3,Credit Card,Mumbai - Malad,Delivered
100162,2026-01-05,C9271,Dadar Darbar,Desserts,1284,45,2.9,Cash,Mumbai - Borivali,Cancelled
100163,2025-09-22,C2751,Powai Plates,Pizza,689,54,4.4,Wallet,Mumbai - Powai,Delivered
100164,2026-01-10,C5709,Dadar Darbar,North Indian,960,77,4.2,Wallet,Mumbai - Kurla,Delivered
100165,2025-01-07,C8558,Thane Treats,Beverages,1342,60,4.3,Wallet,Mumbai - Ghatkopar,Delivered
100166,2025-03-16,C5983,Andheri Kitchen,Chinese,380,21,3.3,UPI,Mumbai - Kurla,Cancelled
100167,2026-06-16,C4599,Malad Food Hub,Chinese,1752,76,3.1,Credit Card,Mumbai - Thane,Cancelled
100168,2025-02-14,C9167,Powai Plates,Pizza,652,48,3.5,UPI,Mumbai - Dadar,Delivered
100169,2026-06-16,C7306,Thane Treats,Beverages,156,77,3.0,Wallet,Mumbai - Borivali,Delayed
100170,2026-06-07,C9577,Thane Treats,Pizza,1125,70,4.3,Credit Card,Mumbai - Chembur,Delivered
100171,2026-01-10,C3460,Malad Food Hub,North Indian,951,51,4.3,UPI,Mumbai - Malad,Delivered
100172,2026-05-06,C9080,Thane Treats,Biryani,1366,50,2.6,Wallet,Mumbai - Malad,Delayed
100173,2026-02-01,C8925,Chembur Spice House,North Indian,1243,31,4.4,Cash,Mumbai - Chembur,Delivered
100174,2025-08-26,C2798,Andheri Kitchen,Chinese,131,83,2.9,UPI,Mumbai - Colaba,Delayed
100175,2025-02-28,C9909,Borivali Bistro,Pizza,1329,65,4.1,Debit Card,Mumbai - Mulund,Delayed
100176,2026-05-03,C6037,Kurla Kitchen,South Indian,476,75,3.7,Wallet,Mumbai - Kurla,Cancelled
100177,2026-02-27,C4909,Mumbai Tadka,Desserts,933,22,4.0,Cash,Mumbai - Kurla,Delivered
100178,2025-04-07,C9947,Marine Drive Meals,South Indian,1462,47,3.6,Debit Card,Mumbai - Bandra,Cancelled
100179,2025-06-27,C9730,Thane Treats,Healthy Food,885,37,2.7,Wallet,Mumbai - Mulund,Delivered
100180,2025-08-13,C1159,Marine Drive Meals,South Indian,1313,53,4.6,Wallet,Mumbai - Colaba,Cancelled
100181,2025-06-25,C6831,Dadar Darbar,Biryani,1763,69,4.6,Debit Card,Mumbai - Borivali,Delivered
100182,2026-05-18,C4809,Borivali Bistro,Desserts,661,41,2.9,UPI,Mumbai - Vashi,Delivered
100183,2025-03-01,C6918,Ghatkopar Grill,Beverages,317,80,4.5,Cash,Mumbai - Andheri,Delivered
100184,2025-03-19,C5088,Kurla Kitchen,South Indian,1336,15,4.8,UPI,Mumbai - Andheri,Delivered
100185,2025-05-23,C2762,Malad Food Hub,Burger,509,46,2.8,Debit Card,Mumbai - Mulund,Delivered
100186,2025-09-10,C7095,Malad Food Hub,Desserts,477,84,3.3,Debit Card,Mumbai - Bandra,Delivered
100187,2025-05-30,C7840,Ghatkopar Grill,Burger,1522,85,4.0,Credit Card,Mumbai - Malad,Delivered
100188,2025-11-21,C2933,Kurla Kitchen,Biryani,256,76,4.4,UPI,Mumbai - Chembur,Delayed
100189,2025-07-03,C8121,Powai Plates,Biryani,1543,24,2.9,Debit Card,Mumbai - Mulund,Delayed
100190,2025-12-08,C5884,Andheri Kitchen,Pizza,517,51,4.3,Debit Card,Mumbai - Borivali,Delivered
100191,2025-09-30,C7414,Borivali Bistro,Healthy Food,163,20,2.5,UPI,Mumbai - Bandra,Delivered
100192,2026-01-04,C4702,Ghatkopar Grill,Pizza,282,50,5.0,Wallet,Mumbai - Andheri,Delivered
100193,2025-09-15,C3105,Powai Plates,Healthy Food,804,35,3.9,Cash,Mumbai - Malad,Cancelled
100194,2026-05-08,C3522,Colaba Cafe,Pizza,1298,42,4.5,Debit Card,Mumbai - Kurla,Delayed
100195,2025-08-02,C5335,Dadar Darbar,Chinese,1653,31,3.1,Wallet,Mumbai - Bandra,Delivered
100196,2025-08-26,C9619,Marine Drive Meals,North Indian,1351,43,3.1,Cash,Mumbai - Thane,Cancelled
100197,2025-02-04,C3278,Mumbai Tadka,Biryani,294,63,3.5,Debit Card,Mumbai - Powai,Delivered
100198,2025-01-05,C3045,Vashi Veg Corner,Desserts,411,57,3.7,UPI,Mumbai - Colaba,Cancelled
100199,2026-01-05,C6759,Dadar Darbar,North Indian,1647,23,4.8,Cash,Mumbai - Powai,Delivered
100200,2025-06-10,C4813,Colaba Cafe,North Indian,686,15,3.3,Wallet,Mumbai - Dadar,Delivered
100201,2026-01-14,C2209,Marine Drive Meals,Desserts,373,42,3.2,Wallet,Mumbai - Thane,Delayed
100202,2025-01-26,C1325,Thane Treats,South Indian,363,18,4.5,Cash,Mumbai - Powai,Delayed
100203,2025-02-10,C2747,Dadar Darbar,Chinese,687,20,3.7,Cash,Mumbai - Chembur,Delivered
100204,2026-03-17,C3345,Bandra Bites,North Indian,675,64,3.3,Debit Card,Mumbai - Mulund,Delivered
100205,2025-04-08,C5248,Ghatkopar Grill,South Indian,1011,73,3.1,Cash,Mumbai - Thane,Delivered
100206,2025-01-22,C2940,Marine Drive Meals,Pizza,1472,59,4.0,Credit Card,Mumbai - Thane,Delivered
100207,2025-01-08,C2547,Chembur Spice House,Beverages,400,21,4.6,Cash,Mumbai - Kurla,Cancelled
100208,2025-11-08,C5687,Malad Food Hub,Chinese,893,35,4.0,Cash,Mumbai - Colaba,Cancelled
100209,2025-05-30,C5921,Andheri Kitchen,North Indian,1226,32,4.5,Credit Card,Mumbai - Mulund,Delivered
100210,2025-12-13,C2155,Ghatkopar Grill,Beverages,350,25,4.0,UPI,Mumbai - Powai,Delivered
100211,2025-04-08,C5708,Colaba Cafe,Biryani,1417,21,4.8,Wallet,Mumbai - Kurla,Cancelled
100212,2026-01-17,C9242,Thane Treats,Beverages,240,41,3.6,Credit Card,Mumbai - Vashi,Delivered
100213,2026-01-31,C6883,Dadar Darbar,Chinese,301,19,4.7,Credit Card,Mumbai - Malad,Delivered
100214,2025-10-18,C3878,Chembur Spice House,Pizza,490,79,2.9,Debit Card,Mumbai - Colaba,Delivered
100215,2025-09-09,C4436,Ghatkopar Grill,North Indian,726,48,4.4,Debit Card,Mumbai - Vashi,Delivered
100216,2026-01-29,C7106,Kurla Kitchen,South Indian,456,35,4.0,Wallet,Mumbai - Malad,Cancelled
100217,2025-06-27,C5515,Marine Drive Meals,Biryani,151,62,3.8,Wallet,Mumbai - Kurla,Cancelled
100218,2026-05-11,C4171,Ghatkopar Grill,Beverages,1547,66,3.5,UPI,Mumbai - Borivali,Delayed
100219,2025-10-24,C6820,Malad Food Hub,Chinese,245,60,5.0,UPI,Mumbai - Powai,Delivered
100220,2026-04-10,C8179,Borivali Bistro,Beverages,617,52,2.7,UPI,Mumbai - Vashi,Delivered
100221,2025-10-14,C6878,Borivali Bistro,Biryani,719,31,3.6,Cash,Mumbai - Powai,Delivered
100222,2026-03-04,C3163,Mumbai Tadka,Chinese,929,34,3.5,Wallet,Mumbai - Borivali,Delivered
100223,2025-11-19,C5828,Colaba Cafe,South Indian,1047,58,3.8,Debit Card,Mumbai - Ghatkopar,Cancelled
100224,2025-10-07,C7557,Marine Drive Meals,North Indian,1071,65,3.9,Cash,Mumbai - Dadar,Cancelled
100225,2025-12-18,C8141,Malad Food Hub,Pizza,1143,28,3.5,Cash,Mumbai - Mulund,Delivered
100226,2025-04-26,C3521,Vashi Veg Corner,Healthy Food,1384,66,4.3,Credit Card,Mumbai - Powai,Cancelled
100227,2026-03-05,C2417,Borivali Bistro,Pizza,1753,75,4.3,UPI,Mumbai - Powai,Delivered
100228,2026-02-02,C8668,Ghatkopar Grill,Desserts,1482,44,4.8,Debit Card,Mumbai - Thane,Delivered
100229,2025-02-11,C7873,Bandra Bites,Beverages,729,79,4.9,Wallet,Mumbai - Bandra,Delivered
100230,2025-06-14,C9703,Mumbai Tadka,Beverages,844,25,3.5,UPI,Mumbai - Dadar,Cancelled
100231,2026-04-09,C2868,Colaba Cafe,South Indian,1321,84,4.3,Credit Card,Mumbai - Dadar,Delayed
100232,2026-01-14,C2883,Andheri Kitchen,Burger,599,79,4.7,Credit Card,Mumbai - Mulund,Delivered
100233,2025-05-09,C3267,Vashi Veg Corner,Chinese,733,41,4.0,Cash,Mumbai - Bandra,Delayed
100234,2026-04-01,C4079,Bandra Bites,Pizza,1147,19,3.3,Credit Card,Mumbai - Andheri,Delayed
100235,2026-02-10,C9672,Chembur Spice House,Desserts,1714,64,3.1,Credit Card,Mumbai - Bandra,Delivered
100236,2025-07-05,C8944,Bandra Bites,Desserts,127,64,3.2,UPI,Mumbai - Malad,Delivered
100237,2025-04-03,C1947,Thane Treats,South Indian,269,45,4.2,Credit Card,Mumbai - Thane,Delivered
100238,2025-08-27,C9851,Powai Plates,Chinese,951,37,2.8,Wallet,Mumbai - Andheri,Delivered
100239,2026-01-04,C6101,Thane Treats,Burger,145,21,3.4,Debit Card,Mumbai - Kurla,Delivered
